unit,geo,time,values
EUR_HAB,FRY3,2021,15500
EUR_HAB,FRY4,2021,23300
EUR_HAB,FRY5,2021,9900
EUR_HAB,HR,2021,14700
EUR_HAB,HR0,2021,14700
EUR_HAB,HR02,2021,9400
EUR_HAB,HR03,2021,13700
EUR_HAB,HR05,2021,27700
EUR_HAB,HR06,2021,12000
EUR_HAB,HU,2021,15800
EUR_HAB,HU1,2021,24200
EUR_HAB,HU11,2021,32900
EUR_HAB,HU12,2021,12900
EUR_HAB,HU2,2021,13500
EUR_HAB,HU21,2021,14800
EUR_HAB,HU22,2021,14400
EUR_HAB,HU23,2021,10800
EUR_HAB,HU3,2021,10900
EUR_HAB,HU31,2021,11000
EUR_HAB,HU32,2021,10300
EUR_HAB,HU33,2021,11500
EUR_HAB,IE,2021,84900
EUR_HAB,IE0,2021,84900
EUR_HAB,IE04,2021,32400
EUR_HAB,IE05,2021,101300
EUR_HAB,IE06,2021,92800
EUR_HAB,IT,2021,30100
EUR_HAB,ITC,2021,37300
EUR_HAB,ITC1,2021,31900
EUR_HAB,ITC2,2021,38300
EUR_HAB,ITC3,2021,32000
EUR_HAB,ITC4,2021,40500
EUR_HAB,ITF,2021,20200
EUR_HAB,ITF1,2021,25700
EUR_HAB,ITF2,2021,22000
EUR_HAB,ITF3,2021,19600
EUR_HAB,ITF4,2021,19900
EUR_HAB,ITF5,2021,24000
EUR_HAB,ITF6,2021,17600
EUR_HAB,ITG,2021,19300
EUR_HAB,ITG1,2021,18400
EUR_HAB,ITG2,2021,22100
EUR_HAB,ITH,2021,35800
EUR_HAB,ITH1,2021,48000
EUR_HAB,ITH2,2021,39800
EUR_HAB,ITH3,2021,33700
EUR_HAB,ITH4,2021,32600
EUR_HAB,ITH5,2021,36800
EUR_HAB,ITI,2021,32100
EUR_HAB,ITI1,2021,31200
EUR_HAB,ITI2,2021,26500
EUR_HAB,ITI3,2021,28600
EUR_HAB,ITI4,2021,34500
EUR_HAB,LT,2021,20000
EUR_HAB,LT0,2021,20000
EUR_HAB,LT01,2021,29800
EUR_HAB,LT02,2021,16000
EUR_HAB,LU,2021,112800
EUR_HAB,LU0,2021,112800
EUR_HAB,LU00,2021,112800
EUR_HAB,LV,2021,17900
EUR_HAB,LV0,2021,17900
EUR_HAB,LV00,2021,17900
EUR_HAB,ME,2021,8000
EUR_HAB,ME0,2021,8000
EUR_HAB,ME00,2021,8000
EUR_HAB,MT,2021,28900
EUR_HAB,MT0,2021,28800
EUR_HAB,MT00,2021,28800
EUR_HAB,NL,2021,48800
EUR_HAB,NL1,2021,37200
EUR_HAB,NL11,2021,43500
EUR_HAB,NL12,2021,34700
EUR_HAB,NL13,2021,33000
EUR_HAB,NL2,2021,40500
EUR_HAB,NL21,2021,41000
EUR_HAB,NL22,2021,41200
EUR_HAB,NL23,2021,35900
EUR_HAB,NL3,2021,54900
EUR_HAB,NL31,2021,61100
EUR_HAB,NL32,2021,63200
EUR_HAB,NL33,2021,47800
EUR_HAB,NL34,2021,41100
EUR_HAB,NL4,2021,48300
EUR_HAB,NL41,2021,50100
EUR_HAB,NL42,2021,44000
EUR_HAB,PL,2021,15100
EUR_HAB,PL2,2021,14700
EUR_HAB,PL21,2021,13900
EUR_HAB,PL22,2021,15400
EUR_HAB,PL4,2021,14500
EUR_HAB,PL41,2021,16200
EUR_HAB,PL42,2021,12500
EUR_HAB,PL43,2021,12100
EUR_HAB,PL5,2021,15600
EUR_HAB,PL51,2021,16800
EUR_HAB,PL52,2021,12100
EUR_HAB,PL6,2021,12800
EUR_HAB,PL61,2021,12200
EUR_HAB,PL62,2021,10500
EUR_HAB,PL63,2021,14700
EUR_HAB,PL7,2021,13100
EUR_HAB,PL71,2021,14300
EUR_HAB,PL72,2021,10800
EUR_HAB,PL8,2021,10400
EUR_HAB,PL81,2021,10200
EUR_HAB,PL82,2021,10400
EUR_HAB,PL84,2021,10900
EUR_HAB,PL9,2021,24100
EUR_HAB,PL91,2021,32300
EUR_HAB,PL92,2021,13000
EUR_HAB,PT,2021,20800
EUR_HAB,PT1,2021,20900
EUR_HAB,PT11,2021,18200
EUR_HAB,PT15,2021,21200
EUR_HAB,PT16,2021,18400
EUR_HAB,PT17,2021,26700
EUR_HAB,PT18,2021,19600
EUR_HAB,PT2,2021,18300
EUR_HAB,PT20,2021,18300
EUR_HAB,PT3,2021,19300
EUR_HAB,PT30,2021,19300
EUR_HAB,RO,2021,12600
EUR_HAB,RO1,2021,11900
EUR_HAB,RO11,2021,11800
EUR_HAB,RO12,2021,12000
EUR_HAB,RO2,2021,9000
EUR_HAB,RO21,2021,8300
EUR_HAB,RO22,2021,10000
EUR_HAB,RO3,2021,18000
EUR_HAB,RO31,2021,9600
EUR_HAB,RO32,2021,28300
EUR_HAB,RO4,2021,11200
EUR_HAB,RO41,2021,9800
EUR_HAB,RO42,2021,12800
EUR_HAB,RS,2021,7800
EUR_HAB,RS1,2021,10000
EUR_HAB,RS11,2021,12700
EUR_HAB,RS12,2021,7500
EUR_HAB,RS2,2021,5500
EUR_HAB,RS21,2021,5300
EUR_HAB,RS22,2021,5600
EUR_HAB,SE,2021,51600
EUR_HAB,SE1,2021,59900
EUR_HAB,SE11,2021,71700
EUR_HAB,SE12,2021,43700
EUR_HAB,SE2,2021,46100
EUR_HAB,SE21,2021,43200
EUR_HAB,SE22,2021,44000
EUR_HAB,SE23,2021,48800
EUR_HAB,SE3,2021,45900
EUR_HAB,SE31,2021,41600
EUR_HAB,SE32,2021,45200
EUR_HAB,SE33,2021,53300
EUR_HAB,SI,2021,24800
EUR_HAB,SI0,2021,24800
EUR_HAB,SI03,2021,20300
EUR_HAB,SI04,2021,29700
EUR_HAB,SK,2021,18100
EUR_HAB,SK0,2021,18100
EUR_HAB,SK01,2021,38800
EUR_HAB,SK02,2021,16400
EUR_HAB,SK03,2021,15000
EUR_HAB,SK04,2021,13200
EUR_HAB,TR,2021,8200
EUR_HAB,TR1,2021,13400
EUR_HAB,TR10,2021,13400
EUR_HAB,TR2,2021,9000
EUR_HAB,TR21,2021,10600
EUR_HAB,TR22,2021,7400
EUR_HAB,TR3,2021,8200
EUR_HAB,TR31,2021,10000
EUR_HAB,TR32,2021,6900
EUR_HAB,TR33,2021,7000
EUR_HAB,TR4,2021,10200
EUR_HAB,TR41,2021,9100
EUR_HAB,TR42,2021,11200
EUR_HAB,TR5,2021,9700
EUR_HAB,TR51,2021,11100
EUR_HAB,TR52,2021,6300
EUR_HAB,TR6,2021,6400
EUR_HAB,TR61,2021,7300
EUR_HAB,TR62,2021,6500
EUR_HAB,TR63,2021,5500
EUR_HAB,TR7,2021,6000
EUR_HAB,TR71,2021,5600
EUR_HAB,TR72,2021,6200
EUR_HAB,TR8,2021,5400
EUR_HAB,TR81,2021,6400
EUR_HAB,TR82,2021,6000
EUR_HAB,TR83,2021,4800
EUR_HAB,TR9,2021,5000
EUR_HAB,TR90,2021,5000
EUR_HAB,TRA,2021,4300
EUR_HAB,TRA1,2021,5200
EUR_HAB,TRA2,2021,3500
EUR_HAB,TRB,2021,3900
EUR_HAB,TRB1,2021,4900
EUR_HAB,TRB2,2021,3100
EUR_HAB,TRC,2021,4200
EUR_HAB,TRC1,2021,5900
EUR_HAB,TRC2,2021,2900
EUR_HAB,TRC3,2021,4200
EUR_HAB_EU27_2020,AT,2021,140
